Ulasan;produk;;;;;;;;;;;
Dicas bukan makin nambah malah makin berkurang harus bagaimana ya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X15;;;;;;;;;;;
Kalau ga niat jualan gausah jualan barang rusak dijual di ces bluetooth kaga ngisi apaan pantes harga murah barang murahan ini sudah ada buktinya pertama buka;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X16;;;;;;;;;;;
Ga bisa nyala dan ga bisa di cas sudah percaya beli malah mengecewakan datangnya juga lama pengemasan lama 2 hari baru di kasih ke ekpedisi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X17;;;;;;;;;;;
Maaf kak ini maksudnya gimana ya?;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X18;;;;;;;;;;;
Barang sudah sampai; kotak aman packingan rapih sampai susah buka. Barangnya pun keliatan bagus; tapi waktu di charge daya gak masuk.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X19;;;;;;;;;
Kenapa menjual produk yg tidak berfungsi😭😭 tidak nyala sama sekali.. udah coba dicas selama 2jam tapi ga nyala 😭😭 aku ini beli kak bukan minta😭😭;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X20;;;;;;;;;;;
kecewa; gpaket gx pake bubble;" rusak kaya ketindih"" gtu"; jadinya gx nyala.;;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X21;;;;;;;
Udh dateng tapi yang satu ga nyalaaa!!!!;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X22;;;;;;;;;;;
Barang ny bagus;cuma ujung headset ny g ada karet ny jadi gampang lepas;apa lagi d pengecasan ny g masuk2 g naik.batre cepat habis boros.;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X23;;;;;;;;;
Pengiriman lambat dan lobang casannya miring;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X24;;;;;;;;;;;
Barang rusak. Di cas gak masuk. Bukan nambah malah kurang batre nya di cas dari jam 12 siang sampe jam 6 sore di cas. Barang gak jelas;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X25;;;;;;;;;;;
Bagus sih cuma kenapa ya suaranya kayak kerendam air trus kadang suka mati nyala mati nyala suaranya; suaranya kayak putus putus ga enak di dengar;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X26;;;;;;;;;;
Kekurangannya banyak bet; suara cempreng; yang sebelah batrai gk bisa full baru 10 detik udah mati; buat game juga delay cuma kebantu luarnya doang. Buat temen² jangan ke...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X27;;;;;;;;
Tidak sesuai deskripsi katanya bisa mode game tapi kok pas nyampe terus dipake GK bisa mode game;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X28;;;;;;;;;;;
Tolong dong; ngecas nya lama banget; saya ngecas dari jam 4 sore sampai jam 6 baterai nya nggak naik Naik:) sya ada ko video unboxing nya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X29;;;;;;;;;
Ini saya baru dateng tuh senin; sama saya dicoba sekali lalu saya cas tuh lama banget ngecas nya padahal itu udh pake kabel tipe C yang udh ada dalam box nya sama pas mau...;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X30;;;;;;;;;;
Kejernihan lensa: Bagus;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X31;;;;;;;;;;;
Kualitas pengerjaan: Puas;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X32;;;;;;;;;;;
Performa: Memuaskan;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X33;;;;;;;;;;;
Baru 2 hari pake; di cas udah 3 jam ttep gamau nambah; udah nyoba ganti cassan ttep gamau nambah🥲;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X34;;;;;;;;;
Produk asal bikin .. di kira lubang telinga gajah .. udah karet pelindung ga ada .. jangan di beli pasti nyesel;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X35;;;;;;;;;;;
Ga sama dgn yg d pesen dan suaranya cuma satu yg satunya gada suaranya;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X36;;;;;;;;;;;
Barang udah saya balikan;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X37;;;;;;;;;;;
Gak bisa di pake mati sebelah;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X38;;;;;;;;;;;
Tolong dong yg bner; udah chat toko ga di respon;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X39;;;;;;;;;;
"Ini kenapa ya baru saya pakai 1 hari aja tiba"" Udh ngk bisa di cas kayak ngestak di angka 3 "; tolong penjelasanya kak ini rusak atau gimana🥲;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X40;;;;;;;;;;
Sumpah jangan beli disini ini gua di kasih yang gak nyala 1 nya bolong lagih hadeh produk rusak jangan di jual ko*tol  kebelet pengen kaya lu yah tai lu gua rugi;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X41;;;;;;;;;;;
Adehh mana ini barang nya yang ada cuman kabel doang ;kabel mah banyak di rmh;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X42;;;;;;;;;;
Suara putus putus; jarang ga bisa jauh.. kurang dari 2m aja putus;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X43;;;;;;;;;;
Apa apaan yang satu gak nyala RGB nya juga gak nyala lu kalo jualan yg bener ajg;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X44;;;;;;;;;;;
kosong boss headset nya gak ada cm kabel data doang gimana ini;X15 TWS Wireless Bluetooth Headset Waterproof Noise Cancelling LED Earbuds with Mic Headphone Earphone - X45;;;;;;;;;;;
